material_id,stress_table_id,temperature_C,stress_MPa,source,notes
cs_1050_qt425,1050_QT425,375,190,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,400,165,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,425,130,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
as_4130_qt540,4130_QT540,40,303,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,65,303,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,100,303,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,125,303,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,150,303,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,200,295,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,250,285,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,300,270,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,325,260,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,350,250,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,375,235,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,400,220,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,425,200,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,450,175,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4130_qt540,4130_QT540,480,140,Derived from Shigley A-21 Q&T@540C properties; ASME II-D SA-193 B7 reference,
as_4140_qt540,4140_QT540,40,278,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,65,278,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,100,278,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,125,278,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,150,278,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,200,270,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,250,260,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,300,247,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,325,237,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,350,225,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,375,210,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,400,195,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,425,175,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,450,150,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
as_4140_qt540,4140_QT540,480,120,Derived from Shigley A-21 Q&T@540C properties; ASME II-D alloy steel reference,
